,source,target,weight
840,27,3,0.0
841,27,4,4.0
842,27,5,0.0
843,27,6,1.0
844,27,7,0.0
845,27,8,0.0
846,27,9,0.0
847,27,10,0.0
848,27,11,4.0
849,27,12,0.0
850,27,13,1.0
851,27,14,2.0
852,27,15,0.0
853,27,16,0.0
854,27,17,0.0
855,27,18,1.0
856,27,19,0.0
857,27,20,0.0
858,27,21,0.0
859,27,22,0.0
860,27,23,0.0
861,27,24,0.0
862,27,25,0.0
863,27,26,0.0
864,27,27,0.0
865,27,28,0.0
866,27,29,0.0
867,27,30,0.0
868,28,0,0.0
869,28,1,0.0
870,28,2,0.0
871,28,3,1.0
872,28,4,0.0
873,28,5,0.0
874,28,6,0.0
875,28,7,0.0
876,28,8,0.0
877,28,9,0.0
878,28,10,0.0
879,28,11,0.0
880,28,12,0.0
881,28,13,0.0
882,28,14,0.0
883,28,15,0.0
884,28,16,0.0
885,28,17,0.0
886,28,18,0.0
887,28,19,0.0
888,28,20,0.0
889,28,21,0.0
890,28,22,0.0
891,28,23,0.0
892,28,24,0.0
893,28,25,0.0
894,28,26,0.0
895,28,27,0.0
896,28,28,0.0
897,28,29,0.0
898,28,30,0.0
899,29,0,5.0
900,29,1,0.0
901,29,2,0.0
902,29,3,54.0
903,29,4,191.0
904,29,5,94.0
905,29,6,37.0
906,29,7,104.0
907,29,8,0.0
908,29,9,1.0
909,29,10,16.0
910,29,11,76.0
911,29,12,0.0
912,29,13,63.0
913,29,14,15.0
914,29,15,0.0
915,29,16,58.0
916,29,17,0.0
917,29,18,20.0
918,29,19,0.0
919,29,20,5.0
920,29,21,2.0
921,29,22,0.0
922,29,23,0.0
923,29,24,0.0
924,29,25,0.0
925,29,26,0.0
926,29,27,0.0
927,29,28,0.0
928,29,29,0.0
929,29,30,1.0
930,30,0,0.0
931,30,1,0.0
932,30,2,0.0
933,30,3,0.0
934,30,4,0.0
935,30,5,2.0
936,30,6,1.0
937,30,7,5.0
938,30,8,0.0
939,30,9,0.0
940,30,10,0.0
941,30,11,1.0
942,30,12,0.0
943,30,13,0.0
944,30,14,2.0
945,30,15,0.0
946,30,16,0.0
947,30,17,0.0
948,30,18,0.0
949,30,19,0.0
950,30,20,0.0
951,30,21,0.0
952,30,22,0.0
953,30,23,0.0
954,30,24,0.0
955,30,25,0.0
956,30,26,0.0
957,30,27,0.0
958,30,28,0.0
959,30,29,1.0
960,30,30,0.0
