,node,eign,closeness,betwness,centrality,community,density
6406,2877,2.3803593504752644e-07,0,0,1,0,0.014265611807748836
6493,3036,9.169610634100403e-06,0,0,1,0,0.014265611807748836
6547,3089,5.023731364711132e-06,0,0,1,0,0.014265611807748836
6573,4856,6.194682825178207e-05,0,0,1,0,0.014265611807748836
6583,6867,1.7317594450662216e-07,0,0,1,0,0.014265611807748836
6609,3433,1.1572605514532167e-05,0,0,1,0,0.014265611807748836
6616,3229,3.508685539521394e-06,0,0,1,0,0.014265611807748836
6639,3257,1.7031137626458057e-06,0,0,1,0,0.014265611807748836
6647,3280,6.227208489708692e-05,0,0,1,0,0.014265611807748836
6692,4493,3.189583232729772e-08,0,0,1,0,0.014265611807748836
6723,4577,8.95163292153872e-06,0,0,1,0,0.014265611807748836
6729,6758,3.965562338990462e-06,0,0,1,0,0.014265611807748836
6731,4314,2.896478048271378e-06,0,0,1,0,0.014265611807748836
6732,7167,2.896478048271378e-06,0,0,1,0,0.014265611807748836
6824,3558,3.1438032728111843e-06,0,0,1,0,0.014265611807748836
6856,6420,7.704221178893645e-07,0,0,1,0,0.014265611807748836
6950,5830,1.1147775841819436e-05,0,0,1,0,0.014265611807748836
6974,3899,8.296584130624036e-06,0,0,1,0,0.014265611807748836
7014,3981,6.15046917599468e-10,0,0,1,0,0.014265611807748836
7051,4833,3.1323611300123655e-06,0,0,1,0,0.014265611807748836
7069,5880,6.132428901790886e-08,0,0,1,0,0.014265611807748836
7071,6721,8.999157234068455e-06,0,0,1,0,0.014265611807748836
7078,5316,5.331497754838604e-06,0,0,1,0,0.014265611807748836
7092,7040,3.978932038914336e-06,0,0,1,0,0.014265611807748836
7128,5500,6.535590365492649e-06,0,0,1,0,0.014265611807748836
7147,6240,3.0181724892202055e-05,0,0,1,0,0.014265611807748836
7148,5736,3.0181724892202055e-05,0,0,1,0,0.014265611807748836
7176,4458,1.2140115177446294e-05,0,0,1,0,0.014265611807748836
7194,4530,2.2652200306917108e-06,0,0,1,0,0.014265611807748836
7210,4568,4.749267456467541e-06,0,0,1,0,0.014265611807748836
7229,6268,2.0189890477064478e-06,0,0,1,0,0.014265611807748836
7238,5752,3.2827673919299174e-06,0,0,1,0,0.014265611807748836
7248,5843,2.6826593051507852e-06,0,0,1,0,0.014265611807748836
7280,5213,5.6531023122182646e-08,0,0,1,0,0.014265611807748836
7383,6346,6.748719556232833e-06,0,0,1,0,0.014265611807748836
7403,5143,2.4312015222377424e-08,0,0,1,0,0.014265611807748836
7411,5182,1.5540228154495375e-05,0,0,1,0,0.014265611807748836
7415,6726,1.2345236560500093e-06,0,0,1,0,0.014265611807748836
7443,5356,2.2652200306917108e-06,0,0,1,0,0.014265611807748836
